"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.670574910E-1,-4.070143029E-2,-5.267243832E-2,9.794978142E0,9.795204326E0
8.690572240E-1,-1.675941236E-2,-1.675941236E-2,9.790189743E0,9.790218433E0
8.710569570E-1,-7.182605099E-3,-1.915361360E-2,9.771036148E0,9.771057561E0
8.730566900E-1,-2.394201700E-3,-2.154781483E-2,9.785401344E0,9.785425362E0
8.750564230E-1,2.154781483E-2,-4.070143029E-2,9.857227325E0,9.857334907E0
8.770562230E-1,2.154781483E-2,-6.224924326E-2,9.957783699E0,9.958001580E0
8.790560230E-1,1.197100803E-2,-5.985504389E-2,9.998485565E0,9.998671888E0
8.810557560E-1,-9.576806799E-3,-6.464344263E-2,1.004158115E1,1.004179379E1
8.830554890E-1,-4.788403399E-3,-7.422025502E-2,1.003679276E1,1.003706832E1
8.850552220E-1,-2.394201700E-3,-8.858546615E-2,9.981725693E0,9.982119060E0
8.870549550E-1,1.915361360E-2,-1.292868853E-1,9.967360497E0,9.968217355E0
8.890546880E-1,2.873042040E-2,-1.268926859E-1,9.974543571E0,9.975392055E0
8.910544880E-1,4.070143029E-2,-1.101332754E-1,9.960178375E0,9.960870404E0
8.930542880E-1,3.351882473E-2,-9.337386489E-2,9.917082787E0,9.917578998E0
8.950540880E-1,1.675941236E-2,-7.661445439E-2,9.826103210E0,9.826416181E0
8.970538210E-1,0.000000000E0,-4.788403213E-2,9.735123634E0,9.735241397E0
8.990535540E-1,0.000000000E0,-4.548983276E-2,9.694421768E0,9.694528495E0
9.010532870E-1,1.675941236E-2,-4.788403213E-2,9.672874451E0,9.673007490E0
9.030530200E-1,1.197100803E-2,-5.746084079E-2,9.665691376E0,9.665869584E0
9.050527530E-1,9.576806799E-3,-5.506663769E-2,9.699210167E0,9.699371212E0
9.070524860E-1,-2.394201700E-3,-5.027823523E-2,9.708786964E0,9.708917445E0
9.090522860E-1,-4.788403399E-3,-5.746084079E-2,9.713575363E0,9.713746497E0
9.110520190E-1,-1.436521020E-2,-4.548983276E-2,9.780612946E0,9.780729281E0
9.130517520E-1,-1.915361360E-2,-5.027823523E-2,9.845256805E0,9.845403817E0
9.150514850E-1,-1.915361360E-2,-5.506663769E-2,9.864410400E0,9.864582695E0
9.170512180E-1,-2.154781483E-2,-7.422025502E-2,9.847650528E0,9.847953791E0
9.190509510E-1,-1.675941236E-2,-6.943184882E-2,9.878775597E0,9.879033806E0
9.210506840E-1,-1.436521020E-2,-7.661445439E-2,9.878775597E0,9.879083127E0
9.230504170E-1,0.000000000E0,-7.422025502E-2,9.869198799E0,9.869477878E0
9.250502170E-1,1.915361360E-2,-5.985504389E-2,9.869198799E0,9.869398889E0
9.270499500E-1,3.591302410E-2,-5.746084079E-2,9.881169319E0,9.881401652E0
9.290496830E-1,1.915361360E-2,-4.070143029E-2,9.888352394E0,9.888454709E0
9.310494160E-1,4.788403399E-3,-3.351882473E-2,9.881169319E0,9.881227330E0
9.330491490E-1,-2.394201700E-3,-4.309562966E-2,9.864410400E0,9.864504829E0
9.350488820E-1,2.394201700E-3,-6.224924326E-2,9.857227325E0,9.857424169E0
9.370486150E-1,1.915361360E-2,-6.224924326E-2,9.862015724E0,9.862230781E0
9.390483480E-1,1.915361360E-2,-5.985504389E-2,9.828496933E0,9.828697851E0
9.410481480E-1,1.436521020E-2,-6.464344263E-2,9.814131737E0,9.814355143E0
9.430478810E-1,9.576806799E-3,-6.464344263E-2,9.814131737E0,9.814349303E0
9.450476140E-1,-1.197100803E-2,-4.788403213E-2,9.821314812E0,9.821438836E0
9.470473470E-1,-1.197100803E-2,-3.591302410E-2,9.814131737E0,9.814204746E0
9.490470800E-1,-7.182605099E-3,-2.394201607E-2,9.790189743E0,9.790221653E0
9.510468130E-1,0.000000000E0,-3.830722719E-2,9.787796021E0,9.787870983E0
9.530465460E-1,-4.788403399E-3,-7.661445439E-2,9.804554939E0,9.804855443E0
9.550462790E-1,-7.182605099E-3,-6.464344263E-2,9.847650528E0,9.847865316E0
9.570460790E-1,-2.154781483E-2,-6.224924326E-2,9.866804123E0,9.867024013E0
