"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.848048750E-1,-2.873042040E-2,9.337386489E-2,9.778219223E0,9.778707240E0
3.868046080E-1,-4.070143029E-2,1.029506698E-1,9.773430824E0,9.774057782E0
3.888043410E-1,-4.070143029E-2,9.816227108E-2,9.778219223E0,9.778796634E0
3.908040740E-1,-3.830722719E-2,9.816227108E-2,9.783007622E0,9.783575083E0
3.928038070E-1,-3.830722719E-2,1.101332754E-1,9.785401344E0,9.786096068E0
3.948035400E-1,-4.309562966E-2,1.077390760E-1,9.787796021E0,9.788483840E0
3.968033400E-1,-2.633621916E-2,9.816227108E-2,9.794978142E0,9.795505409E0
3.988030730E-1,-3.830722719E-2,9.576806426E-2,9.806949615E0,9.807492020E0
4.008028060E-1,-3.351882473E-2,9.816227108E-2,9.787796021E0,9.788345636E0
4.028025390E-1,-3.351882473E-2,1.029506698E-1,9.780612946E0,9.781212192E0
4.048022720E-1,-3.591302410E-2,1.053448766E-1,9.785401344E0,9.786034271E0
4.068020050E-1,-3.830722719E-2,1.029506698E-1,9.792584419E0,9.793200493E0
4.088017380E-1,-3.351882473E-2,9.576806426E-2,9.804554939E0,9.805079938E0
4.108014710E-1,-4.070143029E-2,9.097966552E-2,9.802161217E0,9.802667924E0
4.128012710E-1,-3.591302410E-2,9.576806426E-2,9.783007622E0,9.783542272E0
4.148010040E-1,-4.070143029E-2,8.619125932E-2,9.780612946E0,9.781077401E0
4.168007370E-1,-4.309562966E-2,9.337386489E-2,9.773430824E0,9.773971864E0
4.188004700E-1,-2.394201607E-2,9.097966552E-2,9.783007622E0,9.783459953E0
4.208004360E-1,-3.591302410E-2,1.053448766E-1,9.775824547E0,9.776458094E0
4.228001690E-1,-3.112462163E-2,9.576806426E-2,9.787796021E0,9.788314012E0
4.247999020E-1,-3.830722719E-2,9.816227108E-2,9.787796021E0,9.788363204E0
4.267996350E-1,-4.309562966E-2,1.005564705E-1,9.783007622E0,9.783619318E0
4.287994350E-1,-4.548983276E-2,1.053448766E-1,9.794978142E0,9.795650242E0
4.307991680E-1,-4.788403213E-2,1.053448766E-1,9.797372818E0,9.798056162E0
4.327989010E-1,-4.309562966E-2,1.101332754E-1,9.778219223E0,9.778934387E0
4.347986340E-1,-4.070143029E-2,9.816227108E-2,9.785401344E0,9.785978332E0
4.367983670E-1,-4.788403213E-2,9.816227108E-2,9.780612946E0,9.781222741E0
4.387981000E-1,-5.027823523E-2,9.337386489E-2,9.790189743E0,9.790764106E0
4.407978330E-1,-4.548983276E-2,9.576806426E-2,9.799766541E0,9.800340050E0
4.427976330E-1,-2.873042040E-2,9.816227108E-2,9.797372818E0,9.797906685E0
4.447974330E-1,-4.070143029E-2,1.053448766E-1,9.785401344E0,9.786053015E0
4.467971660E-1,-3.351882473E-2,9.576806426E-2,9.778219223E0,9.778745636E0
4.487968990E-1,-2.394201607E-2,9.816227108E-2,9.785401344E0,9.785922977E0
4.507961990E-1,-2.633621916E-2,9.337386489E-2,9.785401344E0,9.785882267E0
4.527959320E-1,-2.873042040E-2,1.005564705E-1,9.792584419E0,9.793142838E0
4.547956650E-1,-4.309562966E-2,9.576806426E-2,9.797372818E0,9.797935644E0
4.567953980E-1,-4.788403213E-2,9.576806426E-2,9.794978142E0,9.795563343E0
4.587951980E-1,-3.112462163E-2,7.661445439E-2,9.783007622E0,9.783357125E0
4.607949980E-1,-3.830722719E-2,8.379705995E-2,9.775824547E0,9.776258740E0
4.627947310E-1,-3.591302410E-2,8.619125932E-2,9.771036148E0,9.771482287E0
4.647944640E-1,-4.548983276E-2,8.619125932E-2,9.780612946E0,9.781098499E0
4.667941970E-1,-4.788403213E-2,9.097966552E-2,9.780612946E0,9.781153295E0
4.687939300E-1,-1.675941236E-2,8.858546615E-2,9.775824547E0,9.776240271E0
4.707936630E-1,-1.675941236E-2,8.379705995E-2,9.780612946E0,9.780986270E0
4.727933960E-1,-2.633621916E-2,8.619125932E-2,9.785401344E0,9.785816369E0
4.747931960E-1,-3.112462163E-2,8.858546615E-2,9.780612946E0,9.781063629E0
4.767929290E-1,-3.112462163E-2,1.029506698E-1,9.787796021E0,9.788386921E0
4.787926620E-1,-3.351882473E-2,1.053448766E-1,9.785401344E0,9.786025778E0
4.807925950E-1,-5.027823523E-2,9.576806426E-2,9.794978142E0,9.795575339E0
4.827923280E-1,-6.224924326E-2,9.337386489E-2,9.806949615E0,9.807591672E0
4.847920610E-1,-4.309562966E-2,1.005564705E-1,9.797372818E0,9.797983618E0
4.867917940E-1,-3.112462163E-2,1.053448766E-1,9.780612946E0,9.781229773E0
4.887915270E-1,-3.591302410E-2,9.337386489E-2,9.773430824E0,9.773942833E0
4.907913270E-1,-4.548983276E-2,9.097966552E-2,9.773430824E0,9.773960134E0
4.927910600E-1,-4.070143029E-2,9.097966552E-2,9.778219223E0,9.778727171E0
4.947907930E-1,-2.633621916E-2,7.900865376E-2,9.794978142E0,9.795332193E0
4.967905260E-1,-2.394201607E-2,8.858546615E-2,9.794978142E0,9.795407975E0
4.987902590E-1,-2.394201607E-2,9.576806426E-2,9.780612946E0,9.781111099E0
5.007899920E-1,-2.154781483E-2,9.337386489E-2,9.778219223E0,9.778688775E0
5.027897250E-1,-3.351882473E-2,9.097966552E-2,9.783007622E0,9.783488076E0
5.047894580E-1,-3.351882473E-2,9.337386489E-2,9.783007622E0,9.783510634E0
5.067892580E-1,-2.394201607E-2,9.337386489E-2,9.792584419E0,9.793058843E0
5.087889910E-1,-1.675941236E-2,9.816227108E-2,9.792584419E0,9.793090744E0
